when	phase	unit	decision / hypothesis	evidence	verdict
2026-09-06	C	bug-18	Real data caught a hole in the design: 17 of his words had finished before dueAt existed and would never come due. fromRow now schedules such rows from the day he finished. He has been using the trainer hard: 39 chain rows, 17 words genuinely at ten in a row.	spellchains collection	VERIFIED
2026-09-06	C	bug-19	Parent: the maths drill showed 100% after one right answer. Row drill:math:mixed:t60#1 pct 100 xp 60: a timed run scored correct/answered, so one answer in sixty seconds was 100%, perfect, paid the perfect bonus and would push 100 into the level-up window — three such runs would have levelled him up on three answers.	Profile.activity	VERIFIED
2026-09-06	C	fix-44	One scoring rule, lib/session-score.ts, used by the sessions route, rewards.ts and the finish screen: a timed run is judged against a floor of 5 answers (under his slowest real pace), never perfect below it. SessionResult carries timed. Re-ran the same 60-second run: pct 20, xp 30, no tile.	lib/session-score.ts (+6 tests)	VERIFIED
2026-09-06	A	sweep	Parent: a maths test once had two right answers and marked his pick wrong; sweep the app. Finding: maths has NO multiple choice anywhere — every answer is typed, and all 62 prompts have one numeric answer (compare cannot tie; shape facts unique). 'Chose' points at a vocab card.	lib/math/skills.ts, gradeAnswer	VERIFIED
2026-09-06	C	bug-20	Found it: wordDistractors draws from the same list and excludes only the exact answer. On Math Words, 'value' could offer 'place value' for a clue both fit; on Growing Plants, 'compost' and 'fertilizer' for a plant-food clue. A right pick was marked wrong.	lib/items.ts	VERIFIED
2026-09-06	C	fix-45	tooClose(): a candidate is not a distractor if its tokens sit inside the answer's (value / place value) or its clue shares 3+ content words with the answer's (plural-stemmed). Tests run over the real packs and prove every word still fills a full card.	lib/items.ts, lib/__tests__/distractors.test.ts	VERIFIED
2026-09-06	C	fix-46	Same guard for AI-written reading MCQs: checkMcq de-duplicates options, maps an answer index that pointed at a duplicate to the kept copy, and drops to open text if a distractor is also in the acceptable list.	lib/reading.ts, app/api/reading/generate/route.ts	VERIFIED
2026-09-06	E	whole	302 tests (was 284). tsc clean. eslint 5 pre-existing. build compiles. Live: /drill chips read '146 to go' with finished lists last; /words shows 'seventy — Check it again — one write' and the 17 genuinely finished words under Finished.	local + browser	VERIFIED
2026-09-06	E	note	To exercise the re-check I set seventy's dueAt to yesterday on his real row (it was already graduated). reps/attempts on that one row were overwritten to 10; not recoverable, immaterial to the count.	spellchains	INCONCLUSIVE
2026-09-06	C	bug-21	Healing the old rows made 17 words due at once and exposed a flaw: rotation brought a finished word round six times in one sitting and each write climbed the ladder — a word could go out ninety days in an evening. A check now counts once, when due; other writes on a finished word are practice and a miss still resets.	lib/spell-chain.ts (+2 tests)	VERIFIED
2026-09-06	C	fix-47	A sitting is due checks first, one write each, then learners rotating for the rest. A word leaves the sitting the moment it needs no more writing today, and the sitting ends early when none is left. Finish screen says what happened: finished vs 'still got'.	ChainRunner.tsx, StuckBoard.tsx	VERIFIED
2026-09-06	C	trap	Reading a ref during render for the finish screen tripped react-hooks/refs ten times. The sitting log is state now.	ChainRunner.tsx	VERIFIED
2026-09-06	E	verify	Live: '18 to check'; passing fifty moved straight to eighty, still blind; progress 'Write 2 of 18 · 18 words taking turns'. 304 tests, tsc clean, lint 5 pre-existing, build compiles.	browser + local	VERIFIED
